Reference,Qty,Value,Component,Description,Comment
PCB,1,-,Replica Board,,
"C1, C4, C6, C12, C14, C40",6,10uF 16V,,C_Polarized,
"C2, C8, C20, C22, C23, C24, C25, C26, C28, C29, C31, C32, C34, C35, C37, C38, C39, C41, C44, C45, C46, C47, C49, C51, C52, C53, C54, C55, C56, C58, C59, C63, C64, C65, C66, C67, C68, C69, C71, C72",40,0.1uF 12V,,Unpolarized capacitor,
"C3, C7, C13, C15",4,0.01uF 24V,,Unpolarized capacitor,
C5,1,220uF 16V,,C_Polarized,
C9,1,2200uF 35V,,C_Polarized,
C10,1,10000uF 16V,,C_Polarized,
"C11, C16, C48, C57",4,1nF,,Unpolarized capacitor,
"C17, C18",2,220pF,,Unpolarized capacitor,
C19,1,100uF 16V,,C_Polarized,
"C27, C30, C33, C36",4,0.1uF 25V,,Unpolarized capacitor,
C43,1,100pF,,Unpolarized capacitor,
C50,1,2.7nF,,Unpolarized capacitor,
C60,1,47pF,,Unpolarized capacitor,
C70,1,22uF 16V,,C_Polarized,
CN1,1,-,"Generic connector, single row, 01x20",Keyboard Connector,
CR1,1,MDA202,,Bridge Rectifier,
CR2,1,1N4735,D_Zener,Zener diode,
CR3,1,1N5231,D_Zener,Zener diode,
"CR4, CR5, CR6, CR7, CR8",5,1N4148,D,Diode,
"J1, J2, J3",3,Front View,DIN-5_180degree,5-pin DIN connector (5-pin DIN-5 stereo),
"JP1, JP2, JP3, JP9",4,-,Single Jumper,See description on Github or schematics,
"JP4, JP5, JP6, JP7, JP8, JP10",6,-,Double Jumper,See description on Github or schematics,
K1,1,Relay_SPDT,Relay,Cassette Interface Relay,
Q1,1,C1815,NPN BJT Transistor,,
"Q2, Q5",2,A1015,PNP BJT Transistor,,
Q3,1,TIP29A,TIP29A,Q_NPN_BCE,
Q4,1,2N6594,2N6594,Q_PNP_BEC,"Replacement RS2040, MJ2955G"
Q6,1,MJE34,MJE34,Q_PNP_BCE,Replacement TIP32C
-,1,-,Heatsink,Q4 Heatsink,
-,1,-,Screw,M3x10mm,
-,1,-,Nut,M3,
-,1,-,Heatsink,Q6 Heatsink,Smaller than original; no need to be big
-,2,-,Screw,M4x10mm,
-,2,-,Nut,M4,
-,1,-,Thermal Grease,For Q4 and Q6,Apply with Q-Tip or similar
"R1, R32",2,100,,"Resistor 0.25W (brown, black, brown, gold)",
"R2, R18, R19, R28",4,1.2k,,"Resistor 0.25W (brown, red, red, gold)",
"R3, R4",2,7.5k,,"Resistor 0.25W (violet, blue, red, gold)",
R5,1,220k,,"Resistor 0.25W (red, red, yellow, gold)",
R6,1,75,,"Resistor 0.25W (violet, green, black, gold)",
R7,1,47,,"Resistor 0.25W (yellow, violet, black, gold)",
"R8, R75, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110",12,330,,"Resistor 0.25W (orange, orange, brown, gold)",
R9,1,120,,"Resistor 0.25W (brown, red, brown, gold)",
R10,1,270,,"Resistor 0.25W (red, violet, brown, gold)",
"R11, R31, R34, R49",4,10k,,"Resistor 0.25W (brown, black, orange, gold)",
"R12, R37",2,220,,"Resistor 0.5W (red, red, brown, gold)",
R13,1,68,,"Resistor 0.25W (blue, grey, black, gold)",
R14,1,2.7k,,"Resistor 0.25W (red, violet, red, gold)",
R15,1,750,,"Resistor 0.25W (violet, green, brown, gold)",
R16,1,0.33,,"Resistor 2W (orange, orange, silver, gold)",
"R17, R23",2,1k,,"Resistor 0.25W (brown, black, red, gold)",
R20,1,100k,,"Resistor 0.25W (brown, black, yellow, gold)",
"R21, R24, R25",3,3.3k,,"Resistor 0.25W (orange, orange, red, gold)",
R22,1,1.5k,,"Resistor 0.25W (brown, green, red, gold)",
R26,1,2.2k,,"Resistor 0.25W (red, red, red, gold)",
R27,1,12k,,"Resistor 0.25W (brown, red, orange, gold)",
R29,1,2k,,"Resistor 0.25W (red, black, red, gold)",
R30,1,5.6,,"Resistor 3W (green, blue, gold, gold)",
"R33, R51",2,1M,,"Resistor 0.25W (brown, black, green, gold)",
